Date,Waste_Type,Temperature,Moisture_Content,pH_Level,Oxygen_Level,Carbon_Nitrogen_Ratio,Nitrogen_Content,Potassium_Content,Phosphorus_Content,Ambient_Humidity,Ambient_Temperature,Waste_Height,Particle_Size,Bulk_Density,Final_Volume_Reduction,Odor_Level,Decomposition_Rate,Time_Elapsed,Maturity_Index,Turning_Frequency
2024-03-11,MIXED,65.0,55.03,7.37,13.32,26.07,1.82,0.89,0.35,70.0,35.0,112.24,38.61,534.99,1.8089999999999997,2.58,2.01,90.0,8.0,4.19
2024-03-12,GREEN,65.0,60.0,6.54,5.42,26.74,1.98,1.37,0.6,68.71,25.8,121.26,7.68,529.75,1.2453750000000001,4.47,2.43,51.25,7.555,6.02
2024-03-13,GREEN,62.62,60.0,7.17,10.8,29.59,2.0,1.28,0.48,55.37,32.71,105.74,5.0,440.69,1.2217369999999999,3.9,2.53,48.29,7.359,3.4
2024-03-14,MIXED,65.0,54.6,6.72,8.61,26.32,1.79,1.25,1.0,49.01,19.56,150.0,21.74,323.26,1.05279,1.87,1.9,55.41,7.440999999999999,4.52
2024-03-15,GREEN,65.0,60.0,6.57,6.92,29.06,2.0,1.26,0.86,55.12,30.94,104.02,30.07,395.57,1.587708,2.45,2.44,65.07,8.0,4.78
2024-03-16,BROWN,56.82,42.79,7.19,8.37,25.22,1.53,0.75,0.93,70.0,28.72,136.27,38.41,650.0,1.31823,1.06,1.51,87.3,8.0,5.31
2024-03-17,MIXED,65.0,55.83,6.58,15.0,25.44,1.8,1.44,0.54,57.91,35.0,95.54,48.32,496.08,1.74124,4.73,2.02,86.2,8.0,5.5
2024-03-18,BROWN,61.04,43.66,7.74,7.56,27.75,1.5,1.45,0.6,64.13,33.05,148.28,32.37,441.76,0.58609,3.94,1.45,40.42,5.492,3.58
2024-03-19,GREEN,61.2,60.0,7.31,8.38,28.22,2.0,1.48,0.42,60.79,20.75,139.16,46.07,573.47,1.6153380000000002,2.36,2.58,62.61,8.0,6.27
2024-03-20,MIXED,59.2,54.89,7.94,6.33,27.83,1.82,0.87,0.35,58.75,35.0,148.53,35.89,574.56,1.745952,4.13,2.08,83.94,8.0,3.04
2024-03-21,BROWN,59.49,44.69,7.08,8.78,27.17,1.5,0.82,0.6,53.85,20.48,102.45,8.84,518.89,1.3421450000000001,2.12,1.55,86.59,8.0,5.72
2024-03-22,BROWN,65.0,44.05,7.64,7.9,28.93,1.5,1.38,0.43,69.18,20.11,92.33,40.32,552.46,1.075456,1.81,1.28,84.02,8.0,3.89
2024-03-23,BROWN,65.0,44.13,7.67,12.61,30.0,1.54,0.69,1.0,48.41,35.0,106.21,48.58,594.92,0.483336,2.15,1.26,38.36,5.096,4.06
2024-03-24,MIXED,65.0,55.36,8.0,6.64,27.08,1.75,1.03,0.61,60.92,24.73,116.46,17.89,300.0,1.6426649999999998,2.88,2.05,80.13,8.0,4.01
2024-03-25,MIXED,65.0,57.01,6.94,6.89,28.17,1.78,0.68,0.77,70.0,26.31,135.65,23.61,462.75,1.016906,4.42,1.87,54.38,7.308000000000001,5.52
2024-03-26,MIXED,65.0,55.66,6.78,6.54,29.92,1.8,1.43,0.69,51.25,27.89,113.68,18.34,564.37,0.7934549999999999,2.56,1.95,40.69,6.019,3.26
2024-03-27,BROWN,60.27,44.78,7.82,10.5,26.3,1.5,1.37,0.94,42.58,35.0,93.34,24.35,535.72,0.540202,2.98,1.58,34.19,4.999,5.9
2024-03-28,MIXED,65.0,53.63,7.75,12.31,25.77,1.81,0.59,0.76,52.68,35.0,98.4,33.75,459.57,1.5793349999999997,2.42,2.11,74.85,8.0,6.06
2024-03-29,GREEN,65.0,60.0,7.41,10.76,26.53,2.0,0.78,0.57,56.94,17.83,98.25,47.05,482.93,0.982566,3.63,2.47,39.78,6.448,6.74
2024-03-30,GREEN,65.0,60.0,7.27,9.11,25.34,1.99,1.5,0.31,68.33,26.37,147.23,43.13,300.0,0.8245999999999999,2.35,2.48,33.25,5.805,4.37
2024-03-31,MIXED,61.58,53.09,7.6,14.15,28.27,1.85,0.72,0.75,52.89,24.52,124.52,5.0,474.12,1.5256099999999997,2.85,2.05,74.42,8.0,3.28
2024-04-01,MIXED,65.0,52.53,7.24,10.24,27.27,1.78,0.71,0.65,62.87,27.4,149.19,14.83,510.47,1.735686,3.61,2.11,82.26,8.0,6.47
2024-04-02,MIXED,63.62,55.37,7.6,10.29,29.39,1.78,1.34,0.93,57.17,27.51,90.0,17.82,590.28,0.8749439999999999,1.31,2.17,40.32,6.202,5.8
2024-04-03,GREEN,60.2,60.0,7.49,5.55,28.1,2.0,0.95,0.92,69.47,26.6,94.3,21.56,438.38,1.5273499999999998,1.04,2.75,55.54,8.0,4.94
2024-04-04,GREEN,65.0,60.0,6.5,5.31,27.01,2.0,0.87,0.51,52.16,31.85,104.42,5.0,385.34,0.726,2.49,2.42,30.0,5.42,5.06
2024-04-05,MIXED,54.62,54.08,7.12,6.89,26.76,1.85,0.79,0.79,59.67,21.04,128.71,5.53,528.05,0.918605,4.16,2.05,44.81,6.531,4.14
2024-04-06,BROWN,65.0,43.1,6.52,9.24,29.45,1.53,1.19,0.87,44.79,28.71,107.66,17.75,440.77,1.3047909999999998,2.62,1.51,86.41,8.0,3.16
2024-04-07,BROWN,65.0,43.8,6.8,8.23,26.04,1.5,0.94,0.85,47.47,25.71,119.49,6.4,634.84,1.298233,2.91,1.57,82.69,8.0,3.92
2024-04-08,BROWN,65.0,42.75,6.74,9.32,30.0,1.5,0.5,0.63,65.08,28.48,111.6,23.57,415.51,0.725358,4.35,1.59,45.62,6.151999999999999,3.23
2024-04-09,MIXED,56.12,52.92,7.35,7.99,28.42,1.74,1.21,0.41,70.0,35.0,96.96,22.29,455.84,0.6736080000000001,3.41,2.04,33.02,5.3420000000000005,3.0
2024-04-10,MIXED,65.0,54.64,6.72,14.33,28.0,1.77,0.84,0.3,63.46,33.53,127.84,26.82,524.11,1.5764500000000001,2.7,2.05,76.9,8.0,6.58
2024-04-11,MIXED,65.0,54.48,7.31,5.52,25.47,1.8,0.87,0.6,55.05,25.88,125.62,35.85,570.54,1.876305,1.0,2.15,87.27,8.0,5.45
2024-04-12,BROWN,64.64,44.8,7.36,10.67,26.52,1.51,0.87,0.57,58.1,32.3,138.22,34.78,622.73,0.58135,1.82,1.54,37.75,5.3149999999999995,5.54
2024-04-13,GREEN,54.53,60.0,7.88,13.01,25.56,1.99,0.83,0.58,54.71,30.95,135.91,16.16,460.39,1.9870720000000004,3.53,2.56,77.62,8.0,4.37
2024-04-14,GREEN,65.0,60.0,6.57,10.91,27.85,2.0,1.48,0.81,70.0,35.0,133.33,22.74,601.63,2.322,1.28,2.58,90.0,8.0,3.29
2024-04-15,MIXED,61.5,54.81,7.75,5.94,29.29,1.83,0.72,0.76,63.42,29.7,93.19,29.34,355.39,0.9402750000000001,2.17,1.99,47.25,6.715,4.81
2024-04-16,GREEN,65.0,60.0,7.17,6.95,27.34,2.0,0.92,0.83,54.45,23.58,134.19,50.0,587.17,2.295942,2.48,2.58,88.99,8.0,6.91
2024-04-17,MIXED,65.0,54.99,6.8,7.45,28.2,1.81,0.79,0.94,66.32,24.07,125.02,21.32,368.49,0.82205,1.25,2.05,40.1,6.06,4.91
2024-04-18,BROWN,59.36,43.56,7.53,5.95,27.55,1.5,1.36,0.45,64.71,35.0,119.96,7.84,432.69,1.3356800000000002,3.4,1.6,83.48,8.0,4.48
2024-04-19,GREEN,65.0,60.0,6.7,5.99,29.41,2.0,0.59,0.52,60.06,19.97,130.28,33.88,555.7,2.2230000000000003,4.47,2.47,90.0,8.0,5.04
2024-04-20,GREEN,65.0,60.0,7.54,5.11,25.94,2.0,1.02,0.72,47.77,20.14,106.64,29.93,625.76,0.8686999999999999,2.48,2.38,36.5,6.029999999999999,5.4
