Date,Waste_Type,Temperature,Moisture_Content,pH_Level,Oxygen_Level,Carbon_Nitrogen_Ratio,Nitrogen_Content,Potassium_Content,Phosphorus_Content,Ambient_Humidity,Ambient_Temperature,Waste_Height,Particle_Size,Bulk_Density,Final_Volume_Reduction,Odor_Level,Decomposition_Rate,Time_Elapsed,Maturity_Index,Turning_Frequency
2024-03-11,MIXED,65.0,56.87,7.32,12.76,25.66,1.79,0.75,0.31,70.0,35.0,104.83,50.0,448.7,1.089768,3.32,2.04,53.42,7.382000000000001,7.0
2024-03-12,BROWN,65.0,43.92,6.76,6.05,28.59,1.5,1.05,0.62,70.0,31.83,134.15,44.06,300.0,0.922032,2.74,1.52,60.66,7.586,7.0
2024-03-13,BROWN,65.0,43.67,7.53,8.74,28.52,1.5,0.86,0.77,64.31,20.77,150.0,10.65,537.18,1.238484,2.0,1.56,79.39,8.0,6.43
2024-03-14,BROWN,65.0,42.19,7.15,7.8,28.04,1.5,0.88,0.72,54.31,31.59,127.67,15.5,416.15,1.1452239999999998,1.88,1.48,77.38,8.0,5.98
2024-03-15,GREEN,56.54,60.0,7.25,9.9,26.02,2.0,1.41,0.65,70.0,27.0,121.94,30.56,446.63,1.09184,1.97,2.56,42.65,6.824999999999999,4.7
2024-03-16,MIXED,65.0,55.16,7.74,13.91,28.76,1.8,1.39,0.3,45.72,23.32,125.11,12.94,358.36,0.635593,3.29,2.03,31.31,5.161,3.84
2024-03-17,GREEN,65.0,60.0,7.2,9.46,27.08,2.0,0.89,0.61,70.0,33.68,92.73,39.58,636.51,1.2014749999999998,3.96,2.57,46.75,7.244999999999999,3.25
2024-03-18,BROWN,53.29,45.21,7.06,10.38,30.0,1.5,1.14,0.9,48.59,33.26,100.5,25.5,550.94,0.7857339999999999,1.33,1.58,49.73,6.553,4.3
2024-03-19,MIXED,65.0,55.48,7.02,12.24,28.46,1.77,0.66,0.53,47.97,32.82,137.86,13.12,385.97,1.2196109999999998,1.95,2.19,55.69,7.759,6.18
2024-03-20,MIXED,65.0,55.39,6.75,12.45,27.09,1.83,0.67,0.64,53.22,28.33,100.89,43.86,593.7,1.468225,2.57,2.09,70.25,8.0,3.78
2024-03-21,GREEN,60.41,60.0,6.67,9.13,25.63,2.0,1.07,0.37,46.68,28.17,130.67,22.0,550.35,1.5649899999999999,2.98,2.83,55.3,8.0,4.58
2024-03-22,GREEN,64.64,60.0,6.78,5.92,28.54,1.99,1.37,0.53,61.5,35.0,103.66,5.43,528.06,2.1349370000000003,2.86,2.59,82.43,8.0,5.73
2024-03-23,GREEN,65.0,60.0,6.91,13.15,28.84,1.96,0.7,0.82,70.0,35.0,93.47,22.17,382.56,0.9136620000000001,3.0,2.63,34.74,6.104,4.18
2024-03-24,MIXED,65.0,54.7,6.85,8.1,29.34,1.8,1.48,0.88,49.22,26.1,132.87,12.13,548.16,0.763865,4.25,1.85,41.29,5.978999999999999,5.84
2024-03-25,BROWN,65.0,44.25,6.81,5.44,28.23,1.54,0.8,0.59,63.05,20.01,130.96,40.73,361.91,0.7235280000000001,1.67,1.56,46.38,6.198,4.91
2024-03-26,BROWN,62.71,45.5,7.11,6.15,25.58,1.5,1.38,0.72,70.0,20.76,141.87,34.36,516.64,0.736303,3.72,1.67,44.09,6.079000000000001,4.15
2024-03-27,MIXED,65.0,54.06,7.72,7.23,27.64,1.81,1.09,0.4,70.0,24.82,109.3,43.29,321.06,1.62368,3.87,2.15,75.52,8.0,6.55
2024-03-28,MIXED,61.62,56.75,7.14,10.47,29.06,1.81,0.72,0.83,50.4,35.0,121.2,30.64,496.59,1.554615,1.14,1.93,80.55,8.0,5.49
2024-03-29,MIXED,65.0,52.94,7.8,14.19,25.78,1.8,1.14,0.36,60.23,18.58,145.24,42.94,395.02,0.61953,4.71,1.93,32.1,5.14,6.44
2024-03-30,GREEN,65.0,60.0,7.56,7.17,25.9,2.0,0.6,0.95,70.0,34.44,92.48,48.75,468.22,2.2708519999999996,3.58,2.57,88.36,8.0,6.7
2024-03-31,GREEN,54.81,60.0,7.99,13.36,27.7,1.99,0.75,0.93,70.0,29.74,107.79,40.71,373.17,1.234432,3.78,2.56,48.22,7.382,6.45
2024-04-01,GREEN,65.0,60.0,7.85,9.59,26.09,1.98,0.71,0.86,57.8,35.0,107.22,21.68,371.74,1.95465,3.71,2.49,78.5,8.0,4.95
2024-04-02,GREEN,53.64,60.0,7.19,9.97,28.15,1.99,0.84,0.62,55.74,33.41,98.82,29.57,518.59,1.9036499999999998,3.18,2.59,73.5,8.0,5.94
2024-04-03,MIXED,59.65,53.98,7.23,13.0,25.03,1.74,0.9,0.74,48.22,32.1,144.78,20.84,344.33,0.8914799999999999,3.42,1.9,46.92,6.5920000000000005,3.31
2024-04-04,BROWN,65.0,45.32,6.95,12.47,26.96,1.55,1.28,0.83,70.0,29.33,103.4,18.55,500.91,0.68985,3.37,1.5,45.99,6.099,4.83
2024-04-05,BROWN,65.0,42.28,6.73,9.6,27.26,1.52,1.33,0.5,58.11,27.78,99.95,37.38,300.0,1.05705,3.05,1.35,78.3,8.0,4.09
2024-04-06,MIXED,65.0,55.47,7.45,13.36,28.89,1.79,0.77,0.75,70.0,27.18,134.1,37.24,442.97,1.5968,2.16,2.0,79.84,8.0,6.11
2024-04-07,BROWN,53.92,43.35,6.79,12.7,26.18,1.51,1.21,0.63,47.72,24.62,117.45,6.54,569.69,0.478336,1.64,1.48,32.32,4.712,5.81
2024-04-08,GREEN,60.91,60.0,7.71,13.88,27.38,2.0,0.75,0.57,61.26,31.57,133.51,13.82,543.63,1.595538,2.87,2.43,65.66,8.0,4.86
2024-04-09,GREEN,65.0,60.0,7.73,8.83,25.69,2.0,1.21,0.56,54.94,20.81,115.35,35.06,625.08,1.5028800000000002,2.49,2.48,60.6,8.0,5.99
2024-04-10,GREEN,64.79,60.0,7.68,5.0,25.44,2.0,1.01,0.65,63.11,29.03,138.5,18.32,471.6,1.197308,3.96,2.44,49.07,7.3469999999999995,6.33
2024-04-11,BROWN,57.35,45.06,6.69,13.34,28.97,1.54,1.02,0.81,61.16,29.69,94.74,41.68,625.98,1.187405,2.03,1.45,81.89,8.0,6.74
2024-04-12,MIXED,65.0,53.29,6.64,10.34,26.98,1.81,1.07,0.47,53.9,35.0,120.25,16.16,554.65,1.7422269999999997,2.56,2.11,82.57,8.0,4.77
2024-04-13,BROWN,61.91,42.69,7.59,12.93,26.84,1.5,0.7,0.95,57.22,23.07,113.14,20.21,526.51,1.24062,4.07,1.55,80.04,8.0,5.54
2024-04-14,MIXED,65.0,54.78,7.27,9.49,28.54,1.87,1.11,0.98,40.88,34.4,137.41,39.72,478.99,0.8916640000000001,4.69,1.84,48.46,6.686,5.79
2024-04-15,MIXED,62.78,55.33,7.86,9.89,27.98,1.79,1.4,0.57,45.17,22.99,108.12,48.74,383.74,1.230875,1.0,2.15,57.25,7.875,6.57
2024-04-16,GREEN,53.62,60.0,7.76,7.78,28.26,2.0,0.72,0.77,55.79,35.0,134.17,21.68,390.37,1.653135,2.21,2.33,70.95,8.0,3.07
2024-04-17,GREEN,65.0,60.0,6.92,10.63,25.4,1.97,1.08,0.82,46.7,19.3,120.04,38.74,582.5,2.29658,1.2,2.6,88.33,8.0,4.58
2024-04-18,BROWN,59.08,44.69,6.83,14.78,27.41,1.5,1.48,0.5,65.58,32.73,137.7,33.27,492.35,0.553632,2.74,1.58,35.04,5.084,5.42
2024-04-19,GREEN,65.0,60.0,6.79,12.24,25.79,2.0,1.39,1.0,70.0,32.52,116.66,48.08,623.94,1.3207319999999998,2.95,2.52,52.41,7.760999999999999,6.62
2024-04-20,GREEN,65.0,60.0,6.94,14.17,28.71,1.97,1.4,0.68,70.0,30.36,133.5,36.81,312.7,1.4947679999999999,2.63,2.64,56.62,8.0,5.47
2024-04-21,GREEN,65.0,60.0,7.8,7.43,25.91,2.0,0.87,0.62,60.76,24.61,131.07,36.46,562.66,1.238571,5.0,2.43,50.97,7.526999999999999,4.26
2024-04-22,GREEN,65.0,60.0,7.35,12.73,26.6,2.0,0.93,0.83,50.62,35.0,96.23,41.55,450.02,1.153144,1.55,2.44,47.26,7.166,4.41
2024-04-23,BROWN,62.66,43.92,7.2,14.36,29.91,1.56,1.19,0.91,62.76,33.68,118.2,34.8,514.36,0.7161,4.51,1.5,47.74,6.274,6.17
2024-04-24,BROWN,59.46,44.96,7.97,10.84,26.42,1.5,1.38,0.42,49.83,35.0,135.31,30.17,310.2,1.15071,1.98,1.65,69.74,8.0,6.45
2024-04-25,BROWN,65.0,43.87,7.67,6.17,27.43,1.5,0.76,0.93,63.14,35.0,135.69,41.72,423.09,0.76216,3.2,1.4,54.44,6.843999999999999,4.14
2024-04-26,BROWN,61.35,41.68,6.97,12.85,27.89,1.54,0.95,0.91,51.41,20.62,107.49,30.91,562.33,0.6013120000000001,1.39,1.52,39.56,5.476000000000001,6.56
2024-04-27,BROWN,65.0,44.74,7.43,6.72,25.24,1.5,0.88,0.98,54.51,27.87,147.17,44.9,502.54,1.01816,3.53,1.43,71.2,8.0,4.04
2024-04-28,MIXED,65.0,53.09,7.06,11.21,27.02,1.81,0.59,0.61,63.75,29.95,126.18,21.95,489.81,1.7340119999999999,2.86,1.96,88.47,8.0,5.27
2024-04-29,GREEN,58.8,60.0,6.56,14.05,25.74,2.0,1.14,0.64,58.64,35.0,132.98,43.04,350.43,0.9727499999999999,3.56,2.5,38.91,6.391,5.75
2024-04-30,BROWN,62.59,43.83,7.62,9.67,30.0,1.52,0.53,0.55,65.25,35.0,136.96,36.58,592.92,1.394784,3.78,1.67,83.52,8.0,6.76
2024-05-01,MIXED,54.81,55.58,7.5,9.77,28.13,1.81,0.82,0.64,64.98,35.0,133.01,29.96,462.8,0.79989,4.24,1.95,41.02,6.0520000000000005,3.8
2024-05-02,MIXED,56.9,55.13,6.79,7.56,25.74,1.78,1.43,0.91,70.0,19.05,126.68,44.72,472.29,1.169217,4.61,2.01,58.17,7.827,6.0
2024-05-03,BROWN,65.0,46.38,7.46,14.02,29.1,1.5,0.98,0.86,57.47,35.0,124.32,22.93,640.23,1.049625,1.24,1.35,77.75,8.0,3.0
2024-05-04,MIXED,65.0,54.63,7.45,6.26,29.27,1.82,0.83,0.57,57.28,32.85,101.03,15.83,610.17,1.113024,1.48,2.04,54.56,7.496,3.46
2024-05-05,BROWN,65.0,42.86,7.8,8.56,27.23,1.5,0.87,0.55,56.12,21.85,127.59,12.14,631.29,1.1697629999999999,2.06,1.59,73.57,8.0,3.88
2024-05-06,BROWN,55.64,41.33,7.44,9.47,28.62,1.52,1.03,0.95,61.27,35.0,134.75,9.96,475.87,0.6332580000000001,3.41,1.62,39.09,5.529,3.3
2024-05-07,MIXED,58.87,54.67,7.56,11.11,29.35,1.8,1.2,0.98,59.97,34.18,150.0,45.97,407.1,1.72656,5.0,2.18,79.2,8.0,4.31
2024-05-08,MIXED,65.0,54.92,6.85,12.5,27.15,1.8,1.22,0.9,63.89,26.43,135.56,41.04,312.89,0.856737,1.51,1.89,45.33,6.422999999999999,6.32
2024-05-09,BROWN,65.0,44.11,7.16,5.0,27.54,1.5,0.93,0.43,68.66,35.0,106.74,29.27,613.58,1.0257539999999998,4.92,1.38,74.33,8.0,5.73
2024-05-10,MIXED,62.43,54.09,6.85,5.08,27.49,1.83,0.62,0.99,62.45,25.0,142.81,30.07,418.43,0.896678,4.73,2.02,44.39,6.459,6.5
2024-05-11,MIXED,65.0,55.47,6.66,12.24,26.54,1.79,1.27,0.41,54.79,29.82,111.77,6.01,486.16,0.621,1.94,2.07,30.0,5.07,6.2
2024-05-12,BROWN,65.0,46.35,6.5,15.0,29.13,1.52,1.32,0.65,51.96,35.0,97.45,29.83,411.45,0.575505,3.18,1.47,39.15,5.385,3.0
2024-05-13,GREEN,65.0,60.0,7.72,9.36,29.86,1.95,1.2,0.48,68.19,35.0,144.18,14.8,571.59,0.9666180000000001,1.16,2.49,38.82,6.372,4.37
2024-05-14,BROWN,65.0,45.6,7.46,5.23,27.49,1.5,1.28,0.87,58.51,32.21,142.39,33.23,331.76,0.45245399999999997,5.0,1.46,30.99,4.558999999999999,5.81
2024-05-15,MIXED,65.0,54.12,7.24,10.48,26.45,1.83,0.97,0.57,66.64,22.54,138.84,40.68,444.39,1.054103,2.83,1.99,52.97,7.287,5.42
2024-05-16,BROWN,65.0,42.32,7.71,13.61,28.66,1.5,1.07,0.81,70.0,28.86,112.72,42.16,591.41,0.61965,4.23,1.7,36.45,5.345000000000001,3.71
2024-05-17,BROWN,65.0,42.67,6.91,10.83,26.41,1.5,0.95,0.34,69.19,35.0,99.61,41.71,344.13,0.79789,4.68,1.46,54.65,6.925,3.66
2024-05-18,GREEN,65.0,60.0,6.78,7.49,28.77,2.0,1.05,0.7,70.0,28.05,132.61,31.02,314.35,1.773944,1.0,2.48,71.53,8.0,5.13
2024-05-19,BROWN,58.27,44.93,7.69,12.53,26.22,1.5,0.67,0.92,46.32,34.93,129.38,23.62,619.62,0.884211,2.78,1.41,62.71,7.681,3.5
2024-05-20,GREEN,65.0,60.0,6.89,9.02,29.58,2.0,0.65,0.56,63.07,18.01,116.89,10.27,412.23,2.295,1.39,2.55,90.0,8.0,5.84
2024-05-21,BROWN,65.0,41.74,7.75,7.13,27.42,1.5,1.42,0.5,70.0,33.32,107.69,6.04,391.25,0.672084,1.96,1.47,45.72,6.042,5.04
2024-05-22,GREEN,65.0,60.0,7.23,10.43,25.52,1.99,0.53,0.53,48.48,18.93,127.15,33.34,481.53,1.32048,2.61,2.52,52.4,7.76,3.99
2024-05-23,MIXED,65.0,55.81,6.65,11.66,26.14,1.76,1.02,0.43,49.23,22.9,143.19,23.39,505.34,0.853128,1.92,2.04,41.82,6.222,6.13
2024-05-24,BROWN,56.85,45.15,7.37,8.46,29.44,1.52,0.51,0.61,46.35,35.0,145.07,15.7,320.98,0.47100000000000003,3.72,1.57,30.0,4.57,5.28
2024-05-25,GREEN,65.0,60.0,7.53,13.06,29.72,2.0,1.36,0.87,52.0,35.0,145.59,39.22,638.2,1.8482500000000002,3.67,2.5,73.93,8.0,5.4
2024-05-26,BROWN,58.43,42.47,7.32,8.31,29.6,1.51,0.97,0.32,56.19,35.0,116.08,48.24,589.46,0.9595600000000001,1.94,1.61,59.6,7.57,5.81
2024-05-27,BROWN,60.59,42.98,7.3,8.88,27.89,1.5,0.9,0.64,59.5,32.32,119.33,27.11,359.11,0.465,3.16,1.55,30.0,4.55,3.32
2024-05-28,MIXED,65.0,56.17,7.1,12.87,28.03,1.79,1.12,0.4,45.03,30.56,128.69,19.16,566.13,0.964546,1.95,1.87,51.58,7.028,5.49
2024-05-29,BROWN,65.0,45.17,6.78,9.84,30.0,1.5,1.09,0.35,43.35,35.0,102.92,16.24,473.63,0.6681150000000001,3.31,1.47,45.45,6.015,3.17
2024-05-30,MIXED,65.0,54.59,6.8,8.53,26.41,1.81,1.28,0.39,64.05,34.92,125.19,23.12,578.78,1.539846,1.0,1.98,77.77,8.0,6.36
2024-05-31,BROWN,65.0,42.38,6.59,6.15,27.38,1.53,0.6,0.72,43.33,29.96,105.01,17.45,430.86,0.475632,3.68,1.44,33.03,4.743,5.44
2024-06-01,BROWN,65.0,40.0,7.05,9.78,28.86,1.5,0.99,0.66,44.9,35.0,124.68,37.42,300.0,0.715122,4.09,1.53,46.74,6.204000000000001,3.59
2024-06-02,BROWN,65.0,40.0,7.83,14.44,28.43,1.5,0.5,0.89,41.1,33.28,104.48,24.1,538.74,0.9396,3.5,1.45,64.8,7.93,7.0
2024-06-03,MIXED,65.0,40.37,7.74,11.49,28.14,1.84,1.18,0.45,40.0,30.18,150.0,9.76,412.66,0.7647539999999999,2.11,1.97,38.82,5.852,4.73
2024-06-04,BROWN,65.0,40.0,7.43,9.49,28.3,1.5,0.67,0.36,52.37,35.0,119.36,12.83,345.94,1.121591,3.31,1.39,80.69,8.0,5.35
2024-06-05,BROWN,65.0,40.0,7.32,5.38,25.29,1.5,0.76,0.73,52.62,35.0,109.79,50.0,329.41,0.87408,1.56,1.44,60.7,7.51,4.86
2024-06-06,MIXED,65.0,40.0,6.71,10.66,26.54,1.79,1.44,0.87,42.87,33.94,141.8,18.82,451.18,1.194853,3.6,2.09,57.17,7.807,3.8
2024-06-07,MIXED,65.0,40.0,8.0,10.34,26.79,1.75,1.37,1.0,53.77,22.95,108.4,39.33,643.61,1.3462,1.47,2.0,67.31,8.0,5.1
2024-06-08,MIXED,65.0,40.29,7.96,9.52,28.48,1.77,1.38,0.85,40.0,33.02,93.6,49.88,385.51,0.8637719999999999,3.16,2.26,38.22,6.082,3.23
2024-06-09,MIXED,65.0,40.0,7.16,12.62,26.5,1.75,0.65,0.56,40.0,26.26,108.22,19.19,358.69,0.760223,4.2,1.97,38.59,5.829000000000001,5.48
2024-06-10,BROWN,65.0,40.0,6.87,7.04,25.22,1.5,0.63,0.81,47.21,35.0,91.7,26.57,432.27,0.743705,3.97,1.45,51.29,6.579,5.76
2024-06-11,MIXED,65.0,40.0,7.85,9.57,28.51,1.83,0.55,0.86,40.0,35.0,114.55,15.92,367.37,1.247995,1.7,1.97,63.35,8.0,4.77
2024-06-12,BROWN,65.0,40.0,6.78,13.61,26.76,1.5,0.71,0.88,40.0,35.0,121.05,34.05,345.7,0.839664,2.41,1.47,57.12,7.1819999999999995,4.74
2024-06-13,BROWN,65.0,40.0,6.93,14.45,29.28,1.51,1.12,0.63,45.09,34.97,129.28,29.9,370.22,0.916923,2.28,1.41,65.03,7.913,6.01
2024-06-14,GREEN,65.0,47.42,7.3,9.19,25.73,1.97,0.79,0.37,40.0,25.15,105.17,39.66,347.12,1.9080529999999998,2.93,2.59,73.67,8.0,7.0
2024-06-15,MIXED,65.0,40.02,7.6,7.71,29.24,1.77,1.19,0.72,47.38,35.0,115.82,35.57,528.41,1.0385419999999999,1.39,2.11,49.22,7.032,5.2
2024-06-16,MIXED,65.0,43.03,6.79,12.25,27.81,1.79,1.38,0.98,40.0,35.0,107.26,45.12,582.3,1.5129269999999997,4.79,2.01,75.27,8.0,4.85
2024-06-17,BROWN,65.0,40.0,6.66,12.38,27.52,1.5,1.23,0.87,51.8,35.0,105.97,31.41,554.2,1.0310160000000002,4.3,1.36,75.81,8.0,6.92
2024-06-18,BROWN,65.0,40.0,7.84,9.69,29.95,1.51,0.92,0.56,44.81,30.52,129.36,33.16,562.5,0.907828,3.54,1.46,62.18,7.678,6.25
2024-06-19,GREEN,65.0,49.38,7.27,12.37,26.41,2.0,1.23,0.38,53.94,35.0,136.83,47.62,589.36,2.002209,1.0,2.49,80.41,8.0,5.71
2024-06-20,GREEN,65.0,47.15,7.69,10.9,25.83,2.0,1.23,0.61,53.36,35.0,120.27,20.93,334.65,0.797175,2.5,2.25,35.43,5.793,6.47
2024-06-21,GREEN,65.0,48.98,7.17,9.31,26.05,1.99,0.76,0.79,40.0,35.0,104.87,5.0,373.47,1.7185519999999996,1.69,2.36,72.82,8.0,6.36
2024-06-22,BROWN,65.0,40.0,7.67,15.0,27.63,1.51,1.14,0.79,40.0,28.71,139.38,15.01,512.21,1.4252719999999999,4.63,1.63,87.44,8.0,3.98
2024-06-23,MIXED,65.0,40.79,7.17,13.32,25.45,1.82,0.78,0.58,40.0,35.0,109.44,6.35,636.41,1.0108160000000002,3.14,2.12,47.68,6.888,3.59
2024-06-24,MIXED,65.0,41.03,7.33,12.41,26.9,1.8,0.59,0.86,40.0,35.0,119.96,21.42,589.79,0.8240999999999999,4.53,2.05,40.2,6.07,5.25
2024-06-25,GREEN,65.0,48.16,7.46,5.0,28.42,2.0,1.0,0.62,44.13,35.0,129.91,49.74,557.11,2.1729439999999998,3.87,2.68,81.08,8.0,6.2
